id,split,colour_rule_iou,model_iou
134657,val,0.15584415584415584,0.3333333333333333
141008,val,0.9222222222222223,0.9833333333333333
151382,val,0.8053097345132744,0.8359375
157603,val,0.8648648648648649,0.8666666666666667
180923,val,0.5544554455445545,0.8230088495575221
184388,val,0.7272727272727273,0.6666666666666666
192755,val,0.937007874015748,0.7397260273972602
195998,val,0.4766355140186916,0.7850467289719626
208708,val,0.37962962962962965,0.6952380952380952
223496,val,0.6241610738255033,0.9798657718120806
230422,val,0.6375,0.7341772151898734
232538,val,0.7741935483870968,0.678082191780822
259316,val,0.963265306122449,0.975609756097561
271266,val,0.5677966101694916,0.8220338983050848
288769,val,0.5818181818181818,0.8918918918918919
300086,val,0.9067796610169492,0.7328767123287672
311119,val,0.7,0.8189655172413793
312720,val,0.46825396825396826,0.8914728682170543
339346,val,0.5,0.815028901734104
359420,val,0.8766233766233766,0.7391304347826086
364814,val,0.8677248677248677,0.8677248677248677
389320,val,0.5531914893617021,0.7801418439716312
396004,val,0.4935897435897436,0.42328042328042326
399600,val,0.7222222222222222,0.9513888888888888
408799,val,0.831858407079646,0.7833333333333333
409182,val,0.6517857142857143,0.8260869565217391
427291,val,0.9411764705882353,0.7241379310344828
427992,val,0.8606060606060606,0.8545454545454545
437303,val,0.6146788990825688,0.8545454545454545
44147,val,0.5431034482758621,0.8275862068965517
478406,val,0.8380952380952381,0.8108108108108109
486013,val,0.8571428571428571,0.7916666666666666
488567,val,0.39375,0.4125
494283,val,0.4796747967479675,0.6099290780141844
494856,val,0.5789473684210527,0.7865168539325843
524144,val,0.3225806451612903,0.8842105263157894
5282,val,0.8773584905660378,0.9259259259259259
539676,val,0.8888888888888888,0.8869565217391304
547675,val,0.0,0.0
551518,val,0.9433962264150944,0.9433962264150944
566375,val,0.6923076923076923,0.8
568115,val,0.08152173913043478,0.10326086956521739
569294,val,0.9836065573770492,0.9666666666666667
574602,val,0.9203539823008849,0.7619047619047619
577582,val,0.8011363636363636,0.6682464454976303
66316,val,0.8586956521739131,0.9347826086956522
78410,val,0.72,0.7019230769230769
84168,val,0.3953488372093023,0.9425287356321839
100084,test,0.38271604938271603,0.7888888888888889
103413,test,0.7383177570093458,0.8796296296296297
103819,test,0.4158415841584158,0.7647058823529411
111830,test,0.1891891891891892,0.07567567567567568
119139,test,0.890625,0.9895833333333334
125575,test,0.23376623376623376,0.875
128763,test,0.7880794701986755,0.9371069182389937
140543,test,0.9746835443037974,0.8297872340425532
15289,test,0.8411214953271028,0.781021897810219
1670,test,0.33,0.7096774193548387
167910,test,0.5934065934065934,0.7040816326530612
169490,test,0.29523809523809524,0.853448275862069
169599,test,0.47058823529411764,0.8372093023255814
186537,test,0.3409090909090909,0.3409090909090909
186740,test,0.6018518518518519,0.7610619469026548
186868,test,0.6931818181818182,0.9147727272727273
187855,test,0.3333333333333333,0.6338028169014085
192627,test,0.9426751592356688,0.9316770186335404
198477,test,0.7130434782608696,0.6422764227642277
202850,test,0.8755760368663594,0.7983193277310925
205131,test,0.6699029126213593,0.9330143540669856
